ID,Region,Region_State,Pop_2020,PopDen_2020,Total_Land_2017,Total_Crop_2017,Per_Crop_2017,Grass_2017,Per_Grass_2017,Forest_2017,Per_Forest_2017,Special_2017,Per_Special_2017,RuralT_2017,Per_RuralT_2017,Parks_2017,Per_Parks_2017,Indust_2017,Per_Indust_2017,Farmstead_2017,Per_Farmstead_2017,Urban_2017,Per_Urban_2017,Misc_2017,Per_Misc_2017
0,Northeast total,Northeast,"65,465,865",589,111123,12435,11.19%,4808,4.33%,64525,58.07%,11840,10.65%,1604,1.44%,9369,8.43%,486,0.44%,382,0.34%,13788,12.41%,3727,3.35%
1,Northeast,Maine,"1,362,359",69,19739,415,2.10%,154,0.78%,16778,85.00%,687,3.48%,179,0.91%,466,2.36%,19,0.10%,23,0.12%,232,1.18%,1474,7.47%
2,Northeast,New Hampshire,"1,377,529",240,5730,101,1.76%,104,1.82%,4174,72.84%,538,9.39%,83,1.45%,439,7.66%,3,0.05%,12,0.21%,451,7.87%,363,6.34%
3,Northeast,Vermont,"643,077",109,5899,435,7.37%,320,5.42%,4288,72.69%,447,7.58%,84,1.42%,331,5.61%,12,0.20%,21,0.36%,104,1.76%,305,5.17%
4,Northeast,Massachusetts,"7,029,917","1,408",4992,164,3.29%,70,1.40%,2036,40.79%,724,14.50%,60,1.20%,603,12.08%,39,0.78%,22,0.44%,1993,39.92%,6,0.12%
5,Northeast,Rhode Island,"1,097,379","1,657",662,19,2.87%,6,0.91%,291,43.96%,30,4.53%,12,1.81%,13,1.96%,2,0.30%,3,0.45%,262,39.58%,54,8.16%
6,Northeast,Connecticut,"3,605,944","1,163",3099,111,3.58%,28,0.90%,1421,45.85%,301,9.71%,62,2.00%,219,7.07%,2,0.06%,18,0.58%,1200,38.72%,38,1.23%
7,Northeast,New York,"20,201,249",669,30161,4125,13.68%,2409,7.99%,15703,52.06%,5113,16.95%,415,1.38%,4445,14.74%,157,0.52%,96,0.32%,2687,8.91%,123,0.41%
8,Northeast,New Jersey,"9,288,994","1,973",4707,453,9.62%,76,1.61%,1011,21.48%,758,16.10%,42,0.89%,621,13.19%,72,1.53%,23,0.49%,1927,40.94%,481,10.22%
9,Northeast,Pennsylvania,"13,002,700",454,28635,4755,16.61%,1236,4.32%,16312,56.97%,2614,9.13%,556,1.94%,1865,6.51%,61,0.21%,131,0.46%,3213,11.22%,507,1.77%
